"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Christina Rossetti in context","","007397348","Monograph","Language material ; Text","Volume","GB8746326","","9780710812599 ; 9780710812605","Harrison, Antony H.","","person","","Harrison, Antony H. [person]","","","England","Brighton","Harvester","1988","","xiv, 231 pages, 24 cm","821.8","YC.1988.b.9938","Rossetti, Christina Georgina, 1830-1894 ; Poetry in English--Rossetti, Christina Georgina--1830-1894","","English","bibliography: p217-223. _ Includes index",""
"Christina Rossetti revisited","","012651932","Monograph","Language material ; Text","Volume","GB9650640","","9780805770506","Smulders, Sharon","","person","","Smulders, Sharon [person]","Twayne's English authors series","number 517 [Twayne's English authors series]","England ; United States of America","London ; New York","Prentice Hall ; Twayne","1996","","xiii, 183 pages, illustrations, portraits, 23 cm","821.8","YA.1996.a.13186","Rossetti, Christina Georgina, 1830-1894--Criticism and interpretation ; Women and literature--England--History--19th century ; English poetry","","English","",""
"Christina Rossetti","","010082688","Monograph","Language material ; Text","Volume","GB9916771","","9780746308462","Burlinson, Kathryn","","person","","British Council [organisation] ; Burlinson, Kathryn [person]","Writers and their work","","England","Plymouth","British Council ; Northcote House","1998","","xiv, 97 pages, 1 portrait, 22 cm","821.8","99/15064 ; YC.1999.a.1489","Rossetti, Christina Georgina, 1830-1894--Criticism and interpretation","","English","",""
"Christina Rossetti","","010238315","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person] ; Thompson, Edward [person]","The Augustan books of modern poetry","","England","London","Benn","","","","","W15/9296","","","English","",""
"Christina Rossetti","","010238320","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","The Augustan Books of Modern Poetry","","England","London","Ernest Benn","","","","","W83/5320","","","English","",""
"Christina Rossetti","","011938921","Monograph","Language material ; Text","Volume","GB8615817","","9780192141705","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person] ; Porter, Peter [person]","The illustrated poets","","England","Oxford","Oxford University Press","1986","","59 pages, colour illustrations, 18 cm","821.8","YC.1987.a.893","Poetry in English--1837-1900--Texts","","English","",""
"Christina Rossetti","","012038886","Monograph","Language material ; Text","Volume","GB9420626","","9781853816819","Thomas, Frances","1943-","person","","Thomas, Frances, 1943- [person]","","","England","London","Virago","1994","","448 pages, illustrations, portraits, 20 cm","821.8","YK.1994.a.5667","Rossetti, Christina Georgina, 1830-1894 ; Poets, English--19th century--Biography ; English poetry","Biography","English","Originally published: Hanley Swan: Self Publishing Association, 1992 ; bibliography: p426-430. _ Includes index",""
"Christina Rossetti","","012042467","Monograph","Language material ; Text","Volume","GB9227916","","9781854211569","Thomas, Frances","1943-","person","","Thomas, Frances, 1943- [person]","","","England","Hanley Swan","Association ; Self Publishing","1992","","446 pages, illustrations, facsimiles, portraits, 24 cm","821.8","YC.1992.b.2720","Rossetti, Christina Georgina, 1830-1894 ; English poetry","","English","bibliography: p426-430. - Includes index",""
"Christina Rossetti","","012651804","Monograph","Language material ; Text","Volume","","","9780805766714","Bellas, Ralph A.","","person","","Bellas, Ralph A. [person]","Twayne's English authors series","TEAS 201 [Twayne's English authors series]","United States of America","Boston ; Massachusetts","Twayne","1977","","139 pages, portraits, 21 cm","821.8","9076.753000 ; X:989/53860","Rossetti, Christina Georgina, 1830-1894--Criticism and interpretation ; Women and literature--England--History--19th century","","English","bibliography : p.127-134. _ Includes index",""
"Christina Rossetti","","013039625","Monograph","Language material ; Text","Volume","GBA482224","","9780791078921","","","","","Bloom, Harold [person]","Bloom's major poets","","United States of America","Broomall, Pennsylvania","Chelsea House","2005","","1 volume, 24 cm","821.8","","Rossetti, Christina Georgina, 1830-1894--Criticism and interpretation ; Women and literature--England--History--19th century","","English","",""
"Christina Rossetti","","015757797","Monograph","Language material ; Text","Volume","GBB124718","","9780571250936","Rossetti, Christina Georgina","1830-1894","person","","Jones, Emma, 1977- [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","Faber","2011","","1 volume","821.8","","","","English","",""
"Christina Rossetti","","019141700","Monograph","Language material ; Still image ; Text","Volume","GBB8L9321","","9780415556132","","","","","Humphries, Simon, 1963-, editor [person]","The critical heritage series","","England","London","Routledge","2019","","xxviii, 347 pages, black and white illustrations, 24 cm","821.8","","Rossetti, Christina Georgina, 1830-1894--Appreciation ; Rossetti, Christina Georgina, 1830-1894--Criticism and interpretation","","English","",""
"Christina Rossetti","Appendix","003531208","Monograph","Language material ; Text","Volume","","","","Stuart, Dorothy Margaret","","person","","Stuart, Dorothy Margaret [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","English Men of Letters","","England","London","Macmillan","1930","","viii, 200 pages (8°)","","2326.bb.25","","","","",""
"Christina Rossetti","Appendix","003531209","Monograph","Language material ; Text","Volume","","","","Stuart, Dorothy Margaret","","person","","Stuart, Dorothy Margaret [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","English Association. Pamphlet","number 78 [English Association. Pamphlet]","England","London","","1931","","18 pages (8°)","","Ac.2664","","","","",""
"Christina Rossetti","Poems, 1986","008747853","Monograph","Language material ; Text","Volume","","","9780517562888","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person] ; Porter, Peter [person]","Great English poets","","United States of America","New York","C.N. Potter","1986","","59 pages, colour illustrations, 18 cm","821.8","YC.1989.a.5865","","","English","",""
"Christina Rossetti","The wisdom of Christina Rossetti","009448463","Monograph","Language material ; Text","Volume","GB9925935","","9780745940786","Page, Nick","1961-","person","","Page, Nick, 1961- [person]","Lion giftlines ; The wisdom of","","England","Oxford","Lion","1999","","48 pages, colour illustrations, 16 cm","242.2","YK.2001.a.901","Meditations ; Rossetti, Christina Georgina, 1830-1894--Quotations","","English","",""
"Christina Rossetti's 'Goblin market' : Milton revised or revived?","","013632033","Monograph","Language material ; Text","Volume","","","9789517653046 ; 9789517653053","Brandt, Katja","1969-","person","","Åbo akademi (1918-) [organisation] ; Brandt, Katja, 1969- [person]","","","Finland","","Åbo Akademi University Press","2006","","vii, 244 pages, 25 cm","","YD.2007.a.1581","Milton, John, 1608-1674 ; Rossetti, Christina Georgina, 1830-1894 ; Milton, John, 1608-1674--Influence ; Allusions in literature","","English","Originally presented as the author's thesis (doctoral) -- Åbo Akademi University, 2006",""
"Christina Rossetti's environmental consciousness","Environmental consciousness","019402060","Monograph","Language material ; Text","Volume","GBB989200","","9780367112042","Williams, Todd O.","","person","author","Williams, Todd O., author [person]","Routledge studies in world literatures and the environment","","England","London","Routledge","2019","","1 volume, 23 cm","821.8","","Rossetti, Christina Georgina, 1830-1894--Criticism and interpretation ; English poetry--19th century--History and criticism ; Environmentalism in literature","","English","Additional physical form: ebook version. 9780429655678",""
"Christina Rossetti's environmental consciousness","Environmental consciousness","019402772","Monograph","Language material ; Text","Online resource (Mobipocket ebook ; ePub ebook ; PDF ebook ; ebook)","GBB989912","","9780429025273 ; 9780429653230 ; 9780429655678 ; 9780429658112","Williams, Todd O.","","person","author","Williams, Todd O., author [person]","Routledge studies in world literatures and the environment","","England","London","Routledge","2019","1st","1 online resource","821.8","ELD.DS.439390","Rossetti, Christina Georgina, 1830-1894--Criticism and interpretation ; English poetry--19th century--History and criticism ; Environmentalism in literature","","English","Additional physical form: Print version. 9780367112042",""
"Christina Rossetti's faithful imagination : the devotional poetry and prose","","013516856","Monograph","Language material ; Text","Volume","GBA664307","","9780230005075","Roe, Dinah","1976-","person","","Roe, Dinah, 1976- [person]","","","England","Basingstoke","Palgrave Macmillan","2006","","xi, 220 pages, 22 cm","821.8","YC.2007.a.1391 ; m06/.40896","Faith in literature ; Christianity in literature ; Christian poetry, English--19th century--History and criticism ; Christianity and literature--England--History--19th century ; Rossetti, Christina Georgina, 1830-1894--Criticism and interpretation ; Rossetti, Christina Georgina, 1830-1894--Religion","","English","",""
"Christina Rossetti's feminist theology","","010681421","Monograph","Language material ; Text","Volume","GBA223496","","9780333794692 ; 9780333920336","Palazzo, Lynda","1950-","person","","Palazzo, Lynda, 1950- [person]","Cross-currents in religion and culture","","England","Basingstoke","Palgrave","2002","","xiv, 165 pages, 23 cm","821.8","YC.2002.a.5197 ; m02/26841","Feminism in literature ; Women and literature--England--History--19th century ; Feminist theology--England--History--19th century ; Feminism and literature--England--History--19th century ; Theology in literature ; Rossetti, Christina Georgina, 1830-1894--Religion ; Rossetti, Christina Georgina, 1830-1894--Views on feminism","","English","",""
"Christina Rossetti's gothic","","016325043","Monograph","Language material ; Text","Volume","GBB341256","","9781441114433","Trowbridge, Serena","","person","author","Trowbridge, Serena, author [person]","Continuum literary studies","","England","London","Bloomsbury","2013","","1 volume, 24 cm","821.8","","Gothic literature ; Rossetti, Christina Georgina, 1830-1894--Criticism and interpretation","","English","",""
"Christina Rossetti's gothic","","016975156","Monograph","Language material ; Text","Volume","GBB4E5830","","9781441114433 ; 9781474222815","Trowbridge, Serena","","person","author","Trowbridge, Serena, author [person]","","","England","London","Bloomsbury","2015","","viii, 207 pages, 24 cm","821.8","YC.2016.a.4009","Gothic literature ; Rossetti, Christina Georgina, 1830-1894--Criticism and interpretation","","English","",""
"Christina Rossetti's gothic","","019028007","Monograph","Language material ; Text","Online resource","GBB8G0940","","9781441170446","Trowbridge, Serena","","person","","Trowbridge, Serena [person]","Bloomsbury Literary Studies","","United States of America","New York","Bloomsbury","2013","","1 online resource","821.8","ELD.DS.320972","Literary studies: c 1800 to c 1900 ; Great Britain ; Gothic revival (Literature)--Great Britain--History--19th century ; Literary Criticism--Gothic & Romance ; Rossetti, Christina Georgina, 1830-1894--Criticism and interpretation ; Literary Criticism--General ; POETRY--English, Irish, Scottish, Welsh ; Literary studies: general ; Literary Criticism--Women Authors","Criticsm and interpretation ; History","English","",""
"Christina Rossetti. A portrait with background","Appendix","004013407","Monograph","Language material ; Text","Volume","","","","Zaturenska, Marya","1902-1982","person","","Zaturenska, Marya, 1902-1982 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","United States of America","New York","Macmillan","1949","","311 pages (8°)","","10863.e.40","","","","",""
"Christina Rossetti. A study","Appendix","003373733","Monograph","Language material ; Text","Volume","","","","Shove, Fredegond","","person","","Shove, Fredegond [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","","Cambridge","University Press","1931","","xvi, 120 pages (8°)","","10823.aa.7","","","","",""
"Christina Rossetti. Her life and religion [With plates, including portraits.]","Appendix","003261957","Monograph","Language material ; Text","Volume","","","","Sawtell, Margaret","","person","","Sawtell, Margaret [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","A. R. Mowbray","1955","","160 pages (8°)","","4920.h.39 ; W63/3993","","","","",""
"Christina Rossetti: a biographical and critical study, etc. (Bibliography by J. P. Anderson.)","Appendix","000259916","Monograph","Language material ; Text","Volume","","","","Bell, Henry Thomas Mackenzie","","person","","Bell, Henry Thomas Mackenzie [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Anderson, John Parker, 1841-1925 [person]","","","England","London","Hurst & Blackett","1898","","xvi, 364 pages (8°)","","10856.f.15","","","","",""
"Christina's Challenge to Victorian Mentality: the Parodic, Unconventional Pattern of 'My Dream'","'It once should save as well as kill': DG Rossetti and the Feminine ; A Sort of Aesthetico-Catholic Revival: Christina Rossetti and the London Ritualist Scene ; Copyright and Control: Christina Rossetti and her Publishers ; DG Rossetti and the Art of the Inner Standing-Point ; In the Footsteps of His Father? Dantean Allegory in Gabriele Rossetti and Dante Gabriel Rossetti ; Introduction ; Maundering Medievalism: Dante Gabriel Rossetti and William Morris's Poetry ; Mystic, Madwoman or Metaphysician?: The Analogical Theodicy of Christina Rossetti ; Outsiders looking in : the Rossettis then and now ; Pews, Periodicals and Politics: The Rossetti Women as High Church Controversialists ; Pursuing the Well-Beloved: Thomas Hardy, Jocelyn Pearston and the School of Rossetti ; Recollections of PB Shelley: William Michael Rossetti, Political Commitment and Literary Capital ; Sibling Cultures ; The Aesthetics of Morbidity: DG Rossetti and Buchanan's The Fleshly School of Poetry ; The Taxman and the Aesthete: the Canon according to William Michael Rossetti ; William Michael and Lucy Rossetti: Outsider Insiders -- The True Cosmopolitans","017990183","Monograph","Language material ; Text","Online resource","GBB702288","","9780857287496 ; 9781843313380","","","","","Clifford, David [person] ; Roussillon, Laurence [person]","Anthem nineteenth century studies","","England","London","Anthem","2004","","1 online resource (xiv, 284 pages), illustrations","700.922","ELD.DS.83792","Poets, English--19th century--Biography ; Cultuurgeschiedenis ; Rossetti, William Michael, 1829-1919 ; Rossetti, Lucy Madox Brown, 1843-1894 ; Rossetti, Christina Georgina, 1830-1894 ; BIOGRAPHY & AUTOBIOGRAPHY--Artists, Architects, Photographers ; Great Britain--Intellectual life--19th century ; Arts, English--19th century ; English literature ; Italians--Great Britain--History--19th century ; Rossetti, Dante Gabriel, 1828-1882 ; Victoriaanse tijd ; Critics ; Critics--Great Britain--Biography ; Painters ; Rossetti family ; Painters--Great Britain--Biography ; English literature--19th century--History and criticism","Biography ; Criticsm and interpretation ; History","English","",""
"Christmas Carmen","3 carols ; Carols. Selections ; Cradle hymn ; Love came down at Christmas ; Three carols","012201186","Monograph","Notated music","Volume","","","","Darke, Harold","1888-1976","person","","Darke, Harold, 1888-1976 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Whittier, John Greenleaf, 1807-1892 [person]","","","England","London","Stainer & Bell","2002","","1 score (8 pages), 26 cm","782.5281723","E.756.g. (1.)","Carols, English ; Whittier, John Greenleaf, 1807-1892--Musical settings ; Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Sacred songs (Medium voice) with piano ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","1st and 3rd works for mixed chorus (SATB) unacc.; 2nd work for solo or unison voices and piano ; Words by Christina Rossetti (1st work) and John Greenleaf Whittier (3rd work)",""
"Christmas Eve","","018345892","Monograph","Notated music","Volume","","","9780193514386","Jackson, Gabriel","1962-","person","composer","Jackson, Gabriel, 1962-, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Oxford carols","","England","Oxford","Oxford University Press","2017","","1 score (7 pages), 26 cm","782.5281723","E.1435.p. (9.) ; H06/.17857","Carols, English ; Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Rossetti, Christina Georgina, 1830-1894--Musical settings","Music","English","Cover title ; Duration: 3 min ; For mixed voices (SATB with divisions), unaccompanied ; Includes piano reduction for rehearsal only ; Words by Christina Rossetti",""
"Christmas Verses","Works. Selections","003165382","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Christmas Booklets","number 1 [Christmas Booklets]","England","London","S.P.C.K","1933","","15 pages (16°)","","11655.e.103/1","","","","",""
"Collected poems","","016943539","Monograph","Language material ; Still image ; Text","Volume","GBB605151","","9780435160555","","","","","Garner, Phil, 1961-, illustrator [person] ; McGough, Roger [person] ; Down, Becky, illustrator [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Always learning","","England","Harlow, Essex","Pearson","2014","Wordsmith edition","11, 7 pages, colour illustrations, 24 cm","821.0809282","YKL.2016.a.558","Children's poetry, English","","English","'T 0845 630 33 33 - T 0845 630 77 77'--Back cover ; 'Wordsmith'--Back cover ; Printed back to back and inverted ; Title from cover",""
"Collected songs : 44 songs, including 7 cycles or sets","I said to love ; Let us garlands bring ; Love's labour's lost ; Oh fair to see ; Songs. Selections ; Till earth outwears ; To a poet ; Young man's exhortation","015116173","Monograph","Notated music","Volume","","","9781423456742","Finzi, Gerald","1901-1956","person","","Finzi, Gerald, 1901-1956 [person] ; Ferguson, Howard, 1908-1999 [person] ; Finzi, Joy, 1907-1991 [person] ; Finzi, Christopher [person]","","","England","Milwaukee, Wisconsin","Boosey & Hawkes ; Hal Leonard","2008","High voice","1 score (170 pages), 31 cm","783.342 ; 783.347","G.1395.b. (1.) ; H06/.10293","Barker, George, 1812-1876--Musical settings ; Blunden, Edmund, 1896-1974--Musical settings ; Hardy, Thomas, 1840-1928--Musical settings ; Song cycles ; Flecker, James Elroy, 1884-1915--Musical settings ; Traherne, Thomas, -1674--Musical settings ; Jones, William, Sir, 1746-1794--Musical settings ; Shakespeare, William, 1564-1616--Musical settings ; De la Mare, Walter, 1873-1956--Musical settings ; Lucas, F. L. (Frank Laurence), 1894-1967--Musical settings ; Songs (High voice) with piano ; Shanks, Edward, 1892-1953--Musical settings ; Gurney, Ivor, 1890-1937--Musical settings ; Bridges, Robert, 1844-1930--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Edited by Howard Ferguson, Joyce Finzi, and Christopher Finzi ; Includes prefatory notes and biographical information on the composer in English preceding score ; Most songs transposed from original lower keys by the composer. Only two songs, Life laughs onward (Till earth outwears) and To a poet a thousand years hence (To a poet), have been transposed by the editors",""
"Collected songs : 54 songs, including 8 cycles or sets","Before and after summer ; Earth and air and rain ; I said to love ; Let us garlands bring ; Love's labour's lost ; Oh fair to see ; Songs. Selections ; Till earth outwears ; To a poet","015116180","Monograph","Notated music","Volume","","","9781423456773","Finzi, Gerald","1901-1956","person","","Finzi, Gerald, 1901-1956 [person] ; Ferguson, Howard, 1908-1999 [person] ; Finzi, Joy, 1907-1991 [person] ; Finzi, Christopher [person]","","","England","Milwaukee, Wisconsin","Boosey & Hawkes ; Hal Leonard","2008","Medium,low voice","1 score (224 pages), 31 cm","783.542 ; 783.547","G.1395.b. (2.) ; H06/.10301","Barker, George, 1812-1876--Musical settings ; Blunden, Edmund, 1896-1974--Musical settings ; Hardy, Thomas, 1840-1928--Musical settings ; Song cycles ; Songs (Medium voice) with piano ; Flecker, James Elroy, 1884-1915--Musical settings ; Traherne, Thomas, -1674--Musical settings ; Jones, William, Sir, 1746-1794--Musical settings ; Shakespeare, William, 1564-1616--Musical settings ; De la Mare, Walter, 1873-1956--Musical settings ; Lucas, F. L. (Frank Laurence), 1894-1967--Musical settings ; Songs (Low voice) with piano ; Shanks, Edward, 1892-1953--Musical settings ; Gurney, Ivor, 1890-1937--Musical settings ; Bridges, Robert, 1844-1930--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Edited by Howard Ferguson, Joyce Finzi, and Christopher Finzi ; Includes prefatory notes and biographical information on the composer in English preceding score ; Some songs are in their original keys and some have been transposed by the composer. Only two songs, Life laughs onward (Till earth outwears) and To a poet a thousand years hence (To a poet), have been transposed by the editors",""
"Collections","Books Containing MS. Notes by Palgrave ; Poems ... New and enlarged edition","003165314","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Palgrave, Francis Turner, 1824-1897 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","Macmillan","1890","","xiv 450 pages (8°)","","11612.c.15 ; 11651.bbb.57","","","","",""
"Collections","New Poems ... hitherto unpublished or uncollected. Edited by W. M. Rossetti","003165317","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, William Michael [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","Macmillan","1896","","xxiv, 397 pages (8°)","","11647.dd.27","","","","",""
"Collections","Poems ... Chosen and edited by W. M. Rossetti","003165319","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, William Michael [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","Macmillan","1904","","xxvi 332 pages (8°)","","11611.b.37","","","","part of the 'Golden Treasury series'",""
"Collections","Poems ... Enlarged edition","003165316","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","Macmillan","1891","","xiv 450 pages (8°)","","11612.df.5","","","","",""
"Collections","Poems ... New and enlarged edition","003165315","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","","1895","","","","YA.1997.a.3093","","","","",""
"Collections","Poems ... With illustrations by Florence Harrison. Introduction by Alice Meynell. L.P","003165320","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Harrison, Florence [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Meynell, Alice, 1847-1922 [person]","","","England","London","Blackie","1910","","xxiv, 369 pages (4°)","","K.T.C.11.b.11","","","","",""
"Collections","Poems","003165313","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","","Boston ; Cambridge ; Massachusetts","208. Roberts Brothers","1882","","x 300 pages (8°)","","11609.dd.18","","","","",""
"Collections","Poems","014847966","Monograph","Language material ; Text","Online resource","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","","Boston ; Cambridge ; Massachusetts","Roberts Brothers","1882","","x, 300, 208 pages (8°)","","Digital Store 11609.dd.18","","","English","",""
"Collections","Poems. (Goblin Market, etc.-Devotional Pieces.-The Prince's Progress, etc.)","003165312","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","","Boston","Roberts","1866","","x, 256 pages (8°)","","11351.a.16","","","","With two additional titlepages, engraved, bearing the words 'Goblin Market and other poems' and 'The Prince's Progress and other poems.'",""
"Collections","The Poetical Works of Christina Georgina Rossetti. With memoir and notes, &c, by W. M. Rossetti","003165318","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, William Michael [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","Macmillan","1904","","lxxiii, 507 pages (8°)","","2290.d.13","","","English","",""
"Come to me in the silence of the night : for unaccompanied SSAATTBB choir","","013590965","Monograph","Notated music","Volume","","","","Ross, Graham","1985-","person","","Ross, Graham, 1985- [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","Novello","2006","","1 score (9 pages), 25 cm","782.542","E.756.u. (34.)","Choruses, Secular (Mixed voices, 8 parts), Unaccompanied","","English","Includes piano reduction for rehearsal only ; Words by Christina Rossetti, also printed as text",""
"Come to me in the silence of the night","Echo : for voice & piano","019482977","Monograph","Notated music","Volume","","","","Assersohn, Ian","1958-","person","composer","Assersohn, Ian, 1958-, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","Templecombe, Somerset","Recital Music","2011","","1 score (7 pages), 30 cm","783.442","","Songs (Medium voice) with piano ; Rossetti, Christina Georgina, 1830-1894--Musical settings","Song","English","Includes biographical information and programme note on back cover",""
"Commonplace","","013130594","Monograph","Language material ; Text","Volume","GBA521409","","9781843911197","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","Hesperus classics","","England","London","Hesperus","2005","","x, 116 pages, 20 cm","823.8","H.2006/3389","Great Britain--Social conditions--Fiction ; Sisters--Fiction","Fiction","English","",""
"Commonplace, and other short stories, etc","","003165326","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","","1870","","","","12621.aaa.15","","","","",""
"Commonplace, and other short stories, etc","","016859236","Monograph","Language material ; Text","Online resource","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","","1870","","","","Digital Store 12621.aaa.15","","","","",""
"Consider the Lilies of the Field, and other poems","","003165327","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","","","","1911","","149 pages","","3623.b.1/20","","","","",""
"Consider the lilies of the field : for solo voice, mixed choir & organ","","018440181","Monograph","Notated music","Volume","","","","Russell, Armand","1932-","person","composer","Russell, Armand, 1932-, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Choral","","England","Templecombe, Somerset","Recital Music","2011","","1 score (7 pages), 30 cm","783.425","G.1509.a. (20.)","Rossetti, Christina Georgina, 1830-1894--Musical settings","Sacred music ; Song","English","For medium voice, 3-part mixed chorus (soprano, alto, tenor/bass) and organ or piano",""
"Consider the lilies of the field : for voice & piano (or organ)","","018431442","Monograph","Notated music","Volume","","","","Russell, Armand","1932-","person","composer","Russell, Armand, 1932-, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","Templecombe, Somerset","Recital Music","2011","","1 score (4 pages), 30 cm","783.425","G.1509.a. (21.)","Rossetti, Christina Georgina, 1830-1894--Musical settings","Sacred music ; Song","English","",""
"Copyright and Control: Christina Rossetti and her Publishers","'It once should save as well as kill': DG Rossetti and the Feminine ; A Sort of Aesthetico-Catholic Revival: Christina Rossetti and the London Ritualist Scene ; Christina's Challenge to Victorian Mentality: the Parodic, Unconventional Pattern of 'My Dream' ; DG Rossetti and the Art of the Inner Standing-Point ; In the Footsteps of His Father? Dantean Allegory in Gabriele Rossetti and Dante Gabriel Rossetti ; Introduction ; Maundering Medievalism: Dante Gabriel Rossetti and William Morris's Poetry ; Mystic, Madwoman or Metaphysician?: The Analogical Theodicy of Christina Rossetti ; Outsiders looking in : the Rossettis then and now ; Pews, Periodicals and Politics: The Rossetti Women as High Church Controversialists ; Pursuing the Well-Beloved: Thomas Hardy, Jocelyn Pearston and the School of Rossetti ; Recollections of PB Shelley: William Michael Rossetti, Political Commitment and Literary Capital ; Sibling Cultures ; The Aesthetics of Morbidity: DG Rossetti and Buchanan's The Fleshly School of Poetry ; The Taxman and the Aesthete: the Canon according to William Michael Rossetti ; William Michael and Lucy Rossetti: Outsider Insiders -- The True Cosmopolitans","017990183","Monograph","Language material ; Text","Online resource","GBB702288","","9780857287496 ; 9781843313380","","","","","Clifford, David [person] ; Roussillon, Laurence [person]","Anthem nineteenth century studies","","England","London","Anthem","2004","","1 online resource (xiv, 284 pages), illustrations","700.922","ELD.DS.83792","Poets, English--19th century--Biography ; Cultuurgeschiedenis ; Rossetti, William Michael, 1829-1919 ; Rossetti, Lucy Madox Brown, 1843-1894 ; Rossetti, Christina Georgina, 1830-1894 ; BIOGRAPHY & AUTOBIOGRAPHY--Artists, Architects, Photographers ; Great Britain--Intellectual life--19th century ; Arts, English--19th century ; English literature ; Italians--Great Britain--History--19th century ; Rossetti, Dante Gabriel, 1828-1882 ; Victoriaanse tijd ; Critics ; Critics--Great Britain--Biography ; Painters ; Rossetti family ; Painters--Great Britain--Biography ; English literature--19th century--History and criticism","Biography ; Criticsm and interpretation ; History","English","",""
"Correspondence","The letters of Christina Rossetti","013040156","Monograph","Language material ; Text","Volume","GBA482754","","","Rossetti, Christina Georgina","1830-1894","person","","Harrison, Antony H. [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Victorian literature and culture series","","England ; United States of America","Charlottesville, Virginia ; London","University of Virginia Press","1997-2004","","4 volumes, portraits, 25 cm","821.8","97/24811 ; 99/28685 ; YC.1997.b.4374 ; YC.2003.a.12395 ; YC.2003.a.15389 ; YC.2005.a.1935 ; m01/19064","Rossetti, Christina Georgina, 1830-1894--Correspondence ; Women poets, English--19th century--Correspondence ; Women and literature--England--History--19th century ; Pre-Raphaelitism--England ; Rossetti, Christina Georgina, 1830-1894--Family ; English literature--19th century--History and criticism","Correspondence","English","",""
